Уроверь 0,Формат,Уровень 1,Формат,Уровень 2,Формат,Уровень 3,Формат,Уровень 4,Формат,Уровень 5,Формат
(1) Алгоритмы.1,Ф,(3) Java.1,К,"(26) Алгоритмы.2 [1, 2/3]",К,"(48) Мобильная разработка [19, 36/37] ",Практика,"(55) Нейросети [51, 52]",К,"(59) Экосистемы приложений [48/57, 58]",Практика
(2) С++.1,Ф,(7) Linux.1,К,(27) С++.2 [2],СР,(49) Инф. безопасность [43],К,(56) Архитектура.2 [53],К,(60) Архитектура. Best Practice [56],З
(5) Распреды.1,Ф,(14) .NET.1,К,(28) Java.2 [3],К,(50) Сети [43],К,"(57) Клиентские приложения [53, 19]",Практика,,
(6) Машинка.1,Ф,(16) Objective C / Swift,СР,"(31) Машинка.2 [6, 11, 12, 62]",Ф к./в.,"(51) Анализ изображений [31, 2, 44]",К,"(58) Серверные приложения [53, 50]",Практика,,
(8) Дискра.1,Ф,(18) VCS,З,"(32) Комп. графика [2, 10]",Ф/СР,"(52) Анализ текстов [31, 44]",К,,,,
(9) Матан.1,Ф,(19) Создание UI,З,(34) Компиляторы [15],З,"(53) Архитектура.1 [47, 39, 40, 5/22]",К,,,,
(10) Линал.1,Ф,(20) Паттерны пр-ия.1,К,(35) .NET.2 [14],К,"(54) Командная разработка [46, 39, 40]",Практика,,,,
(11) Теорвер.1,Ф,(21) Базы данных.1,К,(36) Android [3],К,"(61) Веб-разработка [19, 21, 28/35/44/63]",Практика,,,,
(12) Матстаты.1,Ф,(22) Highload.1,З,(37) iOS [16],К,(64) Основы Data Engineering'а и ML на больших данных (старое название - ML в Spark) [6],К,,,,
(13) Слупы.1,Ф,(25) R,СР,(39) Системы сборки [7],З,(66) Hadoop [22],К,,,,
(15) Формальные языки,Ф,,,(40) Тестирование [2/3],З,(67) DevOps [17],К,,,,
(62) Python,Ф,,,(41) Базы данных.2 [21],К,,,,,,
,,,,(42) Highload.2 [22],К,,,,,,
,,,,(43) Linux.2 [7],К,,,,,,
,,,,(44) Python [62],К,,,,,,
,,,,"(45) Теория решеток [6, 8, 11]",Ф к./в.,,,,,,
,,,,(46) Agile [18],З,,,,,,
,,,,(47) Паттерны пр-ия.2 [20],К,,,,,,
,,,,"(17) Промышленное пр. [7, 18]",К,,,,,,
,,,,(63) ReactJS ,К,,,,,,
,,,,(65) Scala [3],К,,,,,,
Ф,факультетский,,,,,,,,,,
Ф/СР,факультетский/самостоятельно,,,,,,,,,,
К,кафедральный,,,,,Бакалавр: мин. 3 курса,,,,,
СР,самостоятельная работа,,,,,Магистр: мин. 5 курсов,,Магистр: мин. 3 курса,,Магистр: мин. 1 курс,
З,несколько занятий,,,,,,,,,,
К/СР,кафедральный/самостоятельно,,,,,,,,,,
Ф к./в.,факультетский курс по выбору,,,,,,,,,,
